PRES_ADJUSTED,PSAL_ADJUSTED,TEMP_ADJUSTED
1.00000,35.96200,30.75100
1.96000,35.96400,30.75200
2.96000,35.96100,30.74800
4.04000,35.97000,30.76200
5.08000,35.98200,30.77600
6.00000,35.96800,30.75900
6.96000,35.98700,30.79100
8.00000,35.98700,30.79000
8.96000,35.99000,30.79400
10.20000,35.98600,30.78600
12.04000,35.99800,30.80300
14.08000,36.02300,30.83500
16.04000,36.03300,30.85200
18.04000,36.03300,30.85200
20.00000,36.03300,30.85200
22.04000,36.03300,30.85200
24.00000,36.03300,30.85100
25.96000,36.03300,30.85000
27.92000,36.03300,30.85100
29.96000,36.03400,30.85000
32.00000,36.03400,30.84900
34.04000,36.03400,30.84800
36.04000,36.03400,30.84700
37.96000,36.03300,30.84400
39.92000,36.03400,30.84100
42.00000,36.03700,30.81000
44.04000,36.04500,30.75700
45.96000,36.05700,30.68500
47.96000,36.07500,30.51500
50.00000,36.09300,30.09000
52.00000,36.07700,29.80400
54.00000,36.06600,29.68000
56.00000,36.06200,29.54600
57.96000,36.06300,29.46000
59.96000,36.07700,29.34200
62.00000,36.10200,29.25900
64.00000,36.10300,29.10000
65.96000,36.11300,28.91500
68.00000,36.13300,28.79800
70.00000,36.13400,28.67600
72.00000,36.14600,28.58200
74.00000,36.17100,28.51600
76.00000,36.20100,28.40000
78.04000,36.19800,28.19500
80.00000,36.20100,28.01300
81.96000,36.20300,27.89300
84.00000,36.27700,27.89800
85.96000,36.31600,27.76700
88.00000,36.35500,27.44700
90.00000,36.39600,27.23100
91.96000,36.43700,27.13800
93.96000,36.49600,26.90600
95.96000,36.54300,26.74600
97.96000,36.58000,26.60900
100.00000,36.59900,26.50000
102.00000,36.62800,26.29500
104.00000,36.66300,26.22800
106.04000,36.67800,26.14800
108.00000,36.68500,26.08100
110.00000,36.70100,25.91900
112.00000,36.71300,25.78900
114.00000,36.72800,25.55800
116.00000,36.77600,25.20900
118.04000,36.75500,24.98500
119.96000,36.69700,24.55700
122.00000,36.69400,24.14300
124.00000,36.71600,23.82600
126.04000,36.85400,23.75100
128.03999,36.93500,23.77500
130.00000,36.95800,23.62700
132.00000,36.92100,23.44000
133.96001,36.89700,23.19300
135.96001,36.87300,22.90900
138.00000,36.82100,22.54300
140.03999,36.82700,22.40900
142.03999,36.85000,22.37100
144.03999,36.86600,22.31500
145.96001,36.88800,22.23800
148.00000,36.91000,22.14200
150.03999,36.89900,22.08900
152.00000,36.87700,21.93100
154.00000,36.86600,21.77300
156.03999,36.86100,21.70100
158.00000,36.85200,21.59500
159.96001,36.84300,21.46300
162.00000,36.82200,21.27500
164.00000,36.81500,21.23000
166.03999,36.77900,21.06000
168.00000,36.74700,20.81800
170.00000,36.72100,20.61400
172.00000,36.71100,20.44300
174.00000,36.69000,20.24200
176.00000,36.68100,20.13600
178.00000,36.67400,19.97400
180.00000,36.66900,19.88900
182.00000,36.66100,19.76800
183.96001,36.61800,19.49400
186.00000,36.58900,19.28300
188.00000,36.59100,19.23100
190.00000,36.60500,19.24500
192.03999,36.62800,19.28000
194.03999,36.64300,19.30900
196.00000,36.65300,19.32300
198.00000,36.65000,19.28900
200.03999,36.64500,19.25400
201.96001,36.63500,19.20000
203.92000,36.62200,19.13000
205.96001,36.61600,19.05300
208.03999,36.60000,18.96100
210.03999,36.57900,18.88600
212.00000,36.56300,18.82400
213.96001,36.55200,18.76700
215.96001,36.53100,18.65500
218.00000,36.52600,18.58000
220.00000,36.52200,18.54100
222.00000,36.51000,18.50100
224.00000,36.50100,18.41200
226.00000,36.48100,18.35100
227.96001,36.46000,18.27000
229.96001,36.43600,18.18000
231.92000,36.42400,18.05600
233.96001,36.41500,17.98300
235.96001,36.40600,17.88700
238.00000,36.39800,17.79900
240.03999,36.38900,17.75000
242.03999,36.37500,17.60800
243.96001,36.35600,17.51800
245.96001,36.34200,17.43100
248.00000,36.32400,17.32300
250.00000,36.30700,17.21000
252.03999,36.28900,17.08200
254.00000,36.27100,17.01500
256.00000,36.26100,16.93200
258.04001,36.25300,16.89300
260.04001,36.23500,16.79800
262.00000,36.22200,16.71800
264.00000,36.20600,16.61600
265.95999,36.19300,16.51400
268.00000,36.18800,16.44500
269.95999,36.17300,16.38000
272.00000,36.15800,16.27900
274.04001,36.14600,16.20200
276.04001,36.13200,16.11100
278.04001,36.11600,16.01500
280.00000,36.10900,15.92100
282.00000,36.10700,15.90500
284.00000,36.09700,15.86900
286.00000,36.08200,15.77300
288.00000,36.07200,15.69500
290.00000,36.06500,15.65200
292.00000,36.05400,15.60500
294.00000,36.03500,15.51500
296.00000,36.01700,15.38800
298.00000,35.99900,15.26800
299.95999,35.99400,15.20500
301.95999,35.98600,15.16200
303.95999,35.97000,15.09500
305.95999,35.96100,15.01200
307.92001,35.95700,14.96500
309.92001,35.95300,14.94100
311.95999,35.95000,14.92000
314.04001,35.94500,14.90000
316.04001,35.93500,14.85000
318.00000,35.92800,14.79600
320.00000,35.92200,14.76100
322.00000,35.91300,14.71500
324.00000,35.89500,14.62000
326.00000,35.89400,14.56300
327.92001,35.89000,14.56600
329.95999,35.87000,14.44800
331.95999,35.85600,14.39500
333.95999,35.84500,14.32300
336.00000,35.83100,14.21500
338.04001,35.82500,14.17800
340.00000,35.81100,14.11700
342.00000,35.80300,14.05700
344.00000,35.79100,13.97500
346.00000,35.78800,13.91500
348.00000,35.78200,13.89600
350.00000,35.77400,13.85300
352.00000,35.76100,13.78100
353.95999,35.74900,13.69500
356.00000,35.74000,13.63400
358.00000,35.73300,13.58400
360.00000,35.71900,13.52100
362.00000,35.70000,13.42200
363.95999,35.69000,13.33200
366.00000,35.68400,13.29000
367.95999,35.67600,13.24200
370.00000,35.67100,13.21500
372.00000,35.65100,13.14200
